Client,i,Factorial
127.0.0.1:19146,7,5040
127.0.0.1:24266,6,720
127.0.0.1:35530,5,120
127.0.0.1:34506,4,24
127.0.0.1:26826,3,6
127.0.0.1:41674,2,2
127.0.0.1:41162,1,1
127.0.0.1:51401,20,2432902008176640000
127.0.0.1:29385,19,121645100408832000
127.0.0.1:37064,18,6402373705728000
127.0.0.1:30409,17,355687428096000
127.0.0.1:29897,16,20922789888000
127.0.0.1:9418,15,1307674368000
127.0.0.1:46315,14,87178291200
127.0.0.1:13514,13,6227020800
127.0.0.1:13002,12,479001600
127.0.0.1:23242,11,39916800
127.0.0.1:36042,10,3628800
127.0.0.1:22218,9,362880
127.0.0.1:19146,8,40320
127.0.0.1:24266,7,5040
127.0.0.1:35530,6,720
127.0.0.1:34506,5,120
127.0.0.1:26826,4,24
127.0.0.1:41674,3,6
127.0.0.1:41162,2,2
127.0.0.1:45770,1,1
127.0.0.1:29385,20,2432902008176640000
127.0.0.1:37064,19,121645100408832000
127.0.0.1:30409,18,6402373705728000
127.0.0.1:29897,17,355687428096000
127.0.0.1:9418,16,20922789888000
127.0.0.1:46315,15,1307674368000
127.0.0.1:13514,14,87178291200
127.0.0.1:13002,13,6227020800
127.0.0.1:23242,12,479001600
127.0.0.1:36042,11,39916800
127.0.0.1:22218,10,3628800
127.0.0.1:19146,9,362880
127.0.0.1:24266,8,40320
127.0.0.1:35530,7,5040
127.0.0.1:34506,6,720
127.0.0.1:26826,5,120
127.0.0.1:41674,4,24
127.0.0.1:41162,3,6
127.0.0.1:45770,2,2
127.0.0.1:51402,1,1
127.0.0.1:37064,20,2432902008176640000
127.0.0.1:30409,19,121645100408832000
127.0.0.1:29897,18,6402373705728000
127.0.0.1:9418,17,355687428096000
127.0.0.1:46315,16,20922789888000
127.0.0.1:13514,15,1307674368000
127.0.0.1:13002,14,87178291200
127.0.0.1:23242,13,6227020800
127.0.0.1:36042,12,479001600
127.0.0.1:22218,11,39916800
127.0.0.1:19146,10,3628800
127.0.0.1:24266,9,362880
127.0.0.1:35530,8,40320
127.0.0.1:34506,7,5040
127.0.0.1:26826,6,720
127.0.0.1:41674,5,120
127.0.0.1:41162,4,24
127.0.0.1:45770,3,6
127.0.0.1:51402,2,2
127.0.0.1:42186,1,1
127.0.0.1:30409,20,2432902008176640000
127.0.0.1:29897,19,121645100408832000
127.0.0.1:9418,18,6402373705728000
127.0.0.1:46315,17,355687428096000
127.0.0.1:13514,16,20922789888000
127.0.0.1:13002,15,1307674368000
127.0.0.1:23242,14,87178291200
127.0.0.1:36042,13,6227020800
127.0.0.1:22218,12,479001600
127.0.0.1:19146,11,39916800
127.0.0.1:24266,10,3628800
127.0.0.1:35530,9,362880
127.0.0.1:34506,8,40320
127.0.0.1:26826,7,5040
127.0.0.1:41674,6,720
127.0.0.1:41162,5,120
127.0.0.1:45770,4,24
127.0.0.1:51402,3,6
127.0.0.1:42186,2,2
127.0.0.1:42219,1,1
127.0.0.1:29897,20,2432902008176640000
127.0.0.1:9418,19,121645100408832000
127.0.0.1:46315,18,6402373705728000
127.0.0.1:13514,17,355687428096000
127.0.0.1:13002,16,20922789888000
127.0.0.1:23242,15,1307674368000
127.0.0.1:36042,14,87178291200
127.0.0.1:22218,13,6227020800
127.0.0.1:19146,12,479001600
127.0.0.1:24266,11,39916800
127.0.0.1:35530,10,3628800
127.0.0.1:34506,9,362880
127.0.0.1:26826,8,40320
127.0.0.1:41674,7,5040
127.0.0.1:41162,6,720
127.0.0.1:45770,5,120
127.0.0.1:51402,4,24
127.0.0.1:42186,3,6
127.0.0.1:42219,2,2
127.0.0.1:56522,1,1
127.0.0.1:9418,20,2432902008176640000
127.0.0.1:46315,19,121645100408832000
127.0.0.1:13514,18,6402373705728000
127.0.0.1:13002,17,355687428096000
127.0.0.1:23242,16,20922789888000
127.0.0.1:36042,15,1307674368000
127.0.0.1:22218,14,87178291200
127.0.0.1:19146,13,6227020800
127.0.0.1:24266,12,479001600
127.0.0.1:35530,11,39916800
127.0.0.1:34506,10,3628800
127.0.0.1:26826,9,362880
127.0.0.1:41674,8,40320
127.0.0.1:41162,7,5040
127.0.0.1:45770,6,720
127.0.0.1:51402,5,120
127.0.0.1:42186,4,24
127.0.0.1:42219,3,6
127.0.0.1:56522,2,2
127.0.0.1:57034,1,1
127.0.0.1:46315,20,2432902008176640000
127.0.0.1:13514,19,121645100408832000
127.0.0.1:13002,18,6402373705728000
127.0.0.1:23242,17,355687428096000
127.0.0.1:36042,16,20922789888000
127.0.0.1:22218,15,1307674368000
127.0.0.1:19146,14,87178291200
127.0.0.1:24266,13,6227020800
127.0.0.1:35530,12,479001600
127.0.0.1:34506,11,39916800
127.0.0.1:26826,10,3628800
127.0.0.1:41674,9,362880
127.0.0.1:41162,8,40320
127.0.0.1:45770,7,5040
127.0.0.1:51402,6,720
127.0.0.1:42186,5,120
127.0.0.1:42219,4,24
127.0.0.1:56522,3,6
127.0.0.1:57034,2,2
127.0.0.1:57546,1,1
127.0.0.1:13514,20,2432902008176640000
127.0.0.1:13002,19,121645100408832000
127.0.0.1:23242,18,6402373705728000
127.0.0.1:36042,17,355687428096000
127.0.0.1:22218,16,20922789888000
127.0.0.1:19146,15,1307674368000
127.0.0.1:24266,14,87178291200
127.0.0.1:35530,13,6227020800
127.0.0.1:34506,12,479001600
127.0.0.1:26826,11,39916800
127.0.0.1:41674,10,3628800
127.0.0.1:41162,9,362880
127.0.0.1:45770,8,40320
127.0.0.1:51402,7,5040
127.0.0.1:42186,6,720
127.0.0.1:42219,5,120
127.0.0.1:56522,4,24
127.0.0.1:57034,3,6
127.0.0.1:57546,2,2
127.0.0.1:58058,1,1
127.0.0.1:13002,20,2432902008176640000
127.0.0.1:23242,19,121645100408832000
127.0.0.1:36042,18,6402373705728000
127.0.0.1:22218,17,355687428096000
127.0.0.1:19146,16,20922789888000
127.0.0.1:24266,15,1307674368000
127.0.0.1:35530,14,87178291200
127.0.0.1:34506,13,6227020800
127.0.0.1:26826,12,479001600
127.0.0.1:41674,11,39916800
127.0.0.1:41162,10,3628800
127.0.0.1:45770,9,362880
127.0.0.1:51402,8,40320
127.0.0.1:42186,7,5040
127.0.0.1:42219,6,720
127.0.0.1:56522,5,120
127.0.0.1:57034,4,24
127.0.0.1:57546,3,6
127.0.0.1:58058,2,2
127.0.0.1:60106,1,1
127.0.0.1:23242,20,2432902008176640000
127.0.0.1:36042,19,121645100408832000
127.0.0.1:22218,18,6402373705728000
127.0.0.1:19146,17,355687428096000
127.0.0.1:24266,16,20922789888000
127.0.0.1:35530,15,1307674368000
127.0.0.1:34506,14,87178291200
127.0.0.1:26826,13,6227020800
127.0.0.1:41674,12,479001600
127.0.0.1:41162,11,39916800
127.0.0.1:45770,10,3628800
127.0.0.1:51402,9,362880
127.0.0.1:42186,8,40320
127.0.0.1:42219,7,5040
127.0.0.1:56522,6,720
127.0.0.1:57034,5,120
127.0.0.1:57546,4,24
127.0.0.1:58058,3,6
127.0.0.1:60106,2,2
127.0.0.1:8395,1,1
127.0.0.1:36042,20,2432902008176640000
127.0.0.1:22218,19,121645100408832000
127.0.0.1:19146,18,6402373705728000
127.0.0.1:24266,17,355687428096000
127.0.0.1:35530,16,20922789888000
127.0.0.1:34506,15,1307674368000
127.0.0.1:26826,14,87178291200
127.0.0.1:41674,13,6227020800
127.0.0.1:41162,12,479001600
127.0.0.1:45770,11,39916800
127.0.0.1:51402,10,3628800
127.0.0.1:42186,9,362880
127.0.0.1:42219,8,40320
