Client,i,Factorial
127.0.0.1:63154,7,5040
127.0.0.1:51895,3,6
127.0.0.1:62130,6,720
127.0.0.1:59060,4,24
127.0.0.1:62642,7,5040
127.0.0.1:3251,4,24
127.0.0.1:56497,4,24
127.0.0.1:36022,5,120
127.0.0.1:45746,4,24
127.0.0.1:47792,4,24
127.0.0.1:12979,4,24
127.0.0.1:15543,5,120
127.0.0.1:54965,6,720
127.0.0.1:23733,6,720
127.0.0.1:42164,6,720
127.0.0.1:6840,4,24
127.0.0.1:40627,4,24
127.0.0.1:54964,4,24
127.0.0.1:20657,8,40320
127.0.0.1:178,5,120
127.0.0.1:64180,4,24
127.0.0.1:39604,5,120
127.0.0.1:12956,5,120
127.0.0.1:37047,5,120
127.0.0.1:32946,4,24
127.0.0.1:31920,4,24
127.0.0.1:28338,7,5040
127.0.0.1:38067,6,720
127.0.0.1:30390,5,120
127.0.0.1:23787,6,720
127.0.0.1:63669,5,120
127.0.0.1:65201,4,24
127.0.0.1:57009,7,5040
127.0.0.1:33460,4,24
127.0.0.1:48307,4,24
127.0.0.1:34485,4,24
127.0.0.1:64693,4,24
127.0.0.1:46775,5,120
127.0.0.1:52458,4,24
127.0.0.1:37557,6,720
127.0.0.1:46258,7,5040
127.0.0.1:34997,4,24
127.0.0.1:52917,5,120
127.0.0.1:54964,5,120
127.0.0.1:50871,5,120
127.0.0.1:64689,4,24
127.0.0.1:1208,5,120
127.0.0.1:56502,5,120
127.0.0.1:12956,6,720
127.0.0.1:33969,5,120
127.0.0.1:26803,6,720
127.0.0.1:65201,5,120
127.0.0.1:61618,4,24
127.0.0.1:19635,6,720
127.0.0.1:63154,8,40320
127.0.0.1:10418,6,720
127.0.0.1:51378,4,24
127.0.0.1:9963,4,24
127.0.0.1:36022,6,720
127.0.0.1:48305,4,24
127.0.0.1:46258,8,40320
127.0.0.1:28337,5,120
127.0.0.1:47792,5,120
127.0.0.1:59056,4,24
127.0.0.1:23219,7,5040
127.0.0.1:27831,5,120
127.0.0.1:7862,4,24
127.0.0.1:46775,6,720
127.0.0.1:29877,5,120
127.0.0.1:23217,5,120
127.0.0.1:47793,8,40320
127.0.0.1:38067,7,5040
127.0.0.1:34997,5,120
127.0.0.1:43189,5,120
127.0.0.1:9912,4,24
127.0.0.1:47280,5,120
127.0.0.1:64180,5,120
127.0.0.1:37078,5,120
127.0.0.1:28338,8,40320
127.0.0.1:40631,5,120
127.0.0.1:42676,6,720
127.0.0.1:15541,6,720
127.0.0.1:63669,6,720
127.0.0.1:56534,6,720
127.0.0.1:60597,4,24
127.0.0.1:62647,5,120
127.0.0.1:32470,4,24
127.0.0.1:56498,5,120
127.0.0.1:20612,4,24
127.0.0.1:1234,7,5040
127.0.0.1:23222,5,120
127.0.0.1:11953,4,24
127.0.0.1:21169,7,5040
127.0.0.1:12465,5,120
127.0.0.1:62642,8,40320
127.0.0.1:58035,4,24
127.0.0.1:45746,5,120
127.0.0.1:6840,5,120
127.0.0.1:31920,5,120
127.0.0.1:61617,7,5040
127.0.0.1:41169,7,5040
127.0.0.1:20657,9,362880
127.0.0.1:5299,4,24
127.0.0.1:32946,5,120
127.0.0.1:26803,7,5040
127.0.0.1:37047,6,720
127.0.0.1:42193,6,720
127.0.0.1:52458,5,120
127.0.0.1:3713,6,720
127.0.0.1:54964,6,720
127.0.0.1:62130,7,5040
127.0.0.1:34999,4,24
127.0.0.1:12956,7,5040
127.0.0.1:63154,9,362880
127.0.0.1:34485,5,120
127.0.0.1:65201,6,720
127.0.0.1:12979,5,120
127.0.0.1:34997,6,720
127.0.0.1:50871,6,720
127.0.0.1:48305,5,120
127.0.0.1:30390,6,720
127.0.0.1:32982,5,120
127.0.0.1:38067,8,40320
127.0.0.1:11446,4,24
127.0.0.1:18614,6,720
127.0.0.1:59060,5,120
127.0.0.1:10418,7,5040
127.0.0.1:51895,4,24
127.0.0.1:178,6,720
127.0.0.1:64182,5,120
127.0.0.1:15543,6,720
127.0.0.1:39604,6,720
127.0.0.1:19635,7,5040
127.0.0.1:33969,6,720
127.0.0.1:64689,5,120
127.0.0.1:61618,5,120
